id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jenis_unggas,jumlah_produksi,satuan,tahun
43,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,AYAM PEDAGING,535,KG,2023
44,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,ITIK/ITIK MANILA,40.052,KG,2023
45,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM KAMPUNG,122.978,KG,2023
46,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM PETELUR,697.566,KG,2023
47,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM PEDAGING,16.326,KG,2023
48,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,ITIK/ITIK MANILA,532,KG,2023
49,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM KAMPUNG,125.955,KG,2023
50,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM PETELUR,381.184,KG,2023
51,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM PEDAGING,60.487,KG,2023
52,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,ITIK/ITIK MANILA,2.383,KG,2023
53,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM KAMPUNG,66.994,KG,2023
54,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM PETELUR,"1,224,174",KG,2023
55,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM PEDAGING,1.606,KG,2023
56,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,ITIK/ITIK MANILA,5.576,KG,2023
57,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM KAMPUNG,40.332,KG,2023
58,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM PETELUR,249.733,KG,2023
59,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM PEDAGING,669,KG,2023
60,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,ITIK/ITIK MANILA,2.993,KG,2023
61,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,AYAM KAMPUNG,27.156,KG,2023
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,AYAM PETELUR,88.33,KG,2023
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,AYAM PEDAGING,0,KG,2023
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,ITIK/ITIK MANILA,20.91,KG,2023
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213100,PABUARAN,321305,PABUARAN,AYAM KAMPUNG,54.586,KG,2023
66,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213100,PABUARAN,321305,PABUARAN,AYAM PETELUR,161.403,KG,2023
